Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,FTR,Attendance,B365H,B365D,B365A,AttackStrengthHome,AttackStrengthAway,DefenseWeaknessHome,DefenseWeaknessAway,Season,HomePoints_Avg,AwayPoints_Avg,AvgLosingHomePoints,AvgLosingAwayPoints,AvgGoalDiffHome,AvgGoalDiffAway,HomeWinsRatio,HomeDrawsRatio,AwayWinsRatio,AwayDrawsRatio,AvgHomeCornersLast5,AvgAwayCornersLast5,AvgHomeShotsLast5,AvgHomeShotsOnTargetLast5,AvgAwayShotsLast5,AvgAwayShotsOnTargetLast5,elo,elo_away,FormHomeTeam,FormAwayTeam,ProbabilityDraw,ProbabilityHomeWin,ProbabilityAwayWin
1.0,Fri,2019-08-16,20:00,Athletic Club,0.5,1–0,0.9,Barcelona,H,47693.0,5.25,3.8,1.65,1.0447200300638857,1.684729064039409,0.8078817733990148,0.7290492296129274,19/20,1.631578947368421,1.6842105263157894,1.368421052631579,1.3157894736842106,0.3684210526315789,0.631578947368421,0.47368421052631576,0.21052631578947367,0.47368421052631576,0.2631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,1722.01940918,2001.2286377,0.0,0.0,0.22625962943721678,0.12795513282936297,0.6457852377334202
1.0,Sat,2019-08-17,16:00,Celta Vigo,1.6,1–3,2.1,Real Madrid,A,23566.0,4.75,4.2,1.65,0.9094325441563321,1.5960591133004927,1.123152709359606,0.6012777151446824,19/20,1.2105263157894737,2.0,1.7894736842105263,1.0,0.10526315789473684,0.8421052631578947,0.2631578947368421,0.42105263157894735,0.5789473684210527,0.2631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,1681.16345215,1841.84899902,0.0,0.0,0.23932047916348675,0.2662672906947078,0.4944122301418055
1.0,Sat,2019-08-17,18:00,Valencia,2.3,1–1,1.8,Real Sociedad,D,41846.0,1.66,3.75,5.5,1.0146561443066517,1.1822660098522169,0.9162561576354681,0.8192408868846299,19/20,2.1052631578947367,1.3157894736842106,0.8947368421052632,1.6842105263157894,0.6842105263157895,-0.2631578947368421,0.5789473684210527,0.3684210526315789,0.3684210526315789,0.21052631578947367,0.0,0.0,0.0,0.0,0.0,0.0,1813.6550293,1719.43115234,0.0,0.0,0.22985926372318835,0.6167013417299352,0.1534393945468765
1.0,Sat,2019-08-17,19:00,Mallorca,1.6,2–1,0.7,Eibar,H,15127.0,2.8,3.2,2.6,0.7651055790852859,0.7474721285973555,0.9038743176674212,1.140449771554026,19/20,1.4210526315789473,0.7894736842105263,1.5789473684210527,2.210526315789474,0.15789473684210525,-0.8947368421052632,0.42105263157894735,0.15789473684210525,0.15789473684210525,0.3157894736842105,0.0,0.0,0.0,0.0,0.0,0.0,1566.96105957,1712.77819824,0.0,0.0,0.24020398901421333,0.2862965314450983,0.4734994795406884
1.0,Sat,2019-08-17,20:00,Leganés,1.4,0–1,0.2,Osasuna,A,10020.0,2.0,3.2,4.2,0.6254079392393046,0.8768472906403942,1.2538242157116932,0.9244644870349492,19/20,1.0526315789473684,1.263157894736842,1.9473684210526316,1.736842105263158,-0.47368421052631576,-0.2631578947368421,0.2631578947368421,0.2631578947368421,0.3157894736842105,0.3157894736842105,0.0,0.0,0.0,0.0,0.0,0.0,1670.7947998,1641.64904785,0.0,0.0,0.23714315229778504,0.533530831178793,0.22932601652342216
1.0,Sat,2019-08-17,20:00,Villarreal,1.9,4–4,1.9,Granada,D,14753.0,1.6,3.8,6.5,1.2852311161217587,1.02769271734789,1.0837438423645323,1.3129589567019104,19/20,1.6842105263157894,1.2105263157894737,1.3157894736842106,1.7894736842105263,0.631578947368421,-0.15789473684210525,0.47368421052631576,0.2631578947368421,0.3157894736842105,0.2631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,1732.85998535,1599.75756836,0.0,0.0,0.2240776378505592,0.6612044830601828,0.11471787908925803
1.0,Sun,2019-08-18,16:00,Alavés,0.5,1–0,1.1,Levante,H,12029.0,2.15,3.2,3.6,0.7367683354154605,0.996629504796474,1.015310877379843,1.3121303823255999,19/20,1.4210526315789473,0.8947368421052632,1.5789473684210527,2.1052631578947367,0.05263157894736842,-0.7368421052631579,0.3684210526315789,0.3157894736842105,0.2631578947368421,0.10526315789473684,0.0,0.0,0.0,0.0,0.0,0.0,1683.40710449,1685.88476562,0.0,0.0,0.2395231730449563,0.48998674230437045,0.2704900846506732
1.0,Sun,2019-08-18,18:00,Espanyol,0.2,0–2,1.6,Sevilla,A,19832.0,3.2,3.3,2.3,0.8216143515496747,1.1133004926108376,1.3663469017371015,0.7966929725667043,19/20,0.631578947368421,1.736842105263158,2.3684210526315788,1.263157894736842,-0.8421052631578947,0.42105263157894735,0.10526315789473684,0.3157894736842105,0.47368421052631576,0.3157894736842105,0.0,0.0,0.0,0.0,0.0,0.0,1743.83337402,1748.5847168,0.0,0.0,0.23966396140736174,0.4867974670410138,0.2735385715516244
1.0,Sun,2019-08-18,20:00,Betis,1.5,1–2,0.7,Valladolid,A,51497.0,1.66,3.75,5.5,1.0898158586997369,0.6590614467202489,1.0147783251231528,1.140449771554026,19/20,1.631578947368421,0.8947368421052632,1.368421052631579,2.1052631578947367,0.3684210526315789,-0.7368421052631579,0.47368421052631576,0.21052631578947367,0.21052631578947367,0.2631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,1686.49658203,1617.35339355,0.0,0.0,0.2330346823006772,0.5858376030922507,0.18112771460707203
1.0,Sun,2019-08-18,21:00,Atlético Madrid,2.2,1–0,0.3,Getafe,H,55099.0,1.44,4.33,8.0,1.3754227733934612,0.768472906403941,0.6995073891625616,0.962044344231492,19/20,2.210526315789474,1.263157894736842,0.7894736842105263,1.736842105263158,0.8947368421052632,0.05263157894736842,0.631578947368421,0.3157894736842105,0.3157894736842105,0.3157894736842105,0.0,0.0,0.0,0.0,0.0,0.0,1878.42590332,1761.2232666,0.0,0.0,0.22656429686946578,0.6435132062724034,0.1299224968581308
