,Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes
0,1.0,Sat,2020-09-12,16:00,Eibar,0.4,0–0,0.6,Celta Vigo,,Estadio Municipal de Ipurúa,Valentín Pizarro,Match Report,
1,1.0,Sat,2020-09-12,18:30,Granada,0.4,2–0,0.5,Athletic Club,,Estadio Nuevo Los Cármenes,Antonio Matéu Lahoz,Match Report,
2,1.0,Sat,2020-09-12,21:00,Cádiz,0.7,0–2,0.8,Osasuna,,Estadio Ramón de Carranza,Isidro Díaz de Mera,Match Report,
3,1.0,Sun,2020-09-13,14:00,Alavés,1.2,0–1,0.4,Betis,,Estadio de Mendizorroza,Pablo González,Match Report,
4,1.0,Sun,2020-09-13,16:00,Valladolid,0.8,1–1,0.3,Real Sociedad,,Estadio Municipal José Zorrilla,Mario Melero,Match Report,
5,1.0,Sun,2020-09-13,18:30,Villarreal,2.5,1–1,0.6,Huesca,,Estadio de la Cerámica,Daniel Ask,Match Report,
6,1.0,Sun,2020-09-13,21:00,Valencia,1.9,4–2,2.0,Levante,,Estadio de Mestalla,José Sánchez,Match Report,
7,,,,,,,,,,,,,,
8,2.0,Sat,2020-09-19,16:00,Villarreal,2.7,2–1,1.5,Eibar,,Estadio de la Cerámica,Jorge Figueroa,Match Report,
9,2.0,Sat,2020-09-19,18:30,Getafe,0.6,1–0,0.5,Osasuna,,Coliseum Alfonso Pérez,Alejandro Hernández,Match Report,
10,2.0,Sat,2020-09-19,21:00,Celta Vigo,2.0,2–1,0.5,Valencia,,Estadio de Balaídos,Jesús Gil,Match Report,
11,2.0,Sun,2020-09-20,16:00,Huesca,0.3,0–2,1.2,Cádiz,,Estadio El Alcoraz,César Soto,Match Report,
12,2.0,Sun,2020-09-20,18:30,Granada,2.2,2–1,0.7,Alavés,,Estadio Nuevo Los Cármenes,Carlos del Cerro,Match Report,
13,2.0,Sun,2020-09-20,18:30,Betis,1.6,2–0,0.4,Valladolid,,Estadio Benito Villamarín,Santiago Jaime,Match Report,
14,2.0,Sun,2020-09-20,21:00,Real Sociedad,0.6,0–0,0.9,Real Madrid,,Estadio Municipal de Anoeta,Juan Martínez,Match Report,
15,,,,,,,,,,,,,,
16,3.0,Sat,2020-09-26,13:00,Alavés,1.3,0–0,1.1,Getafe,,Estadio de Mendizorroza,Alberola Rojas,Match Report,
17,3.0,Sat,2020-09-26,16:00,Valencia,0.6,1–1,0.9,Huesca,,Estadio de Mestalla,José Luis Munuera,Match Report,
18,3.0,Sat,2020-09-26,18:30,Elche,1.0,0–3,3.1,Real Sociedad,,Estadio Manuel Martínez Valero,Isidro Díaz de Mera,Match Report,
