,Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes
0,1.0,Fri,2023-08-11,19:30,Almería,1.4,0–2,2.1,Rayo Vallecano,14837.0,Power Horse Stadium,Alberola Rojas,Match Report,
1,1.0,Fri,2023-08-11,22:00,Sevilla,0.7,1–2,1.1,Valencia,34184.0,Estadio Ramón Sánchez Pizjuán,José Sánchez,Match Report,
2,1.0,Sat,2023-08-12,17:00,Real Sociedad,1.0,1–1,0.8,Girona,30848.0,Reale Arena,Francisco Hernández,Match Report,
3,1.0,Sat,2023-08-12,18:30,Las Palmas,0.9,1–1,1.6,Mallorca,24100.0,Estadio de Gran Canaria,Víctor García,Match Report,
4,1.0,Sat,2023-08-12,21:30,Athletic Club,0.4,0–2,0.9,Real Madrid,48927.0,San Mamés,Jesús Gil,Match Report,
5,1.0,Sun,2023-08-13,17:00,Celta Vigo,1.0,0–2,1.0,Osasuna,20269.0,Estadio Abanca Balaídos,Pablo González,Match Report,
6,1.0,Sun,2023-08-13,19:30,Villarreal,0.9,1–2,1.1,Betis,17825.0,Estadio de la Cerámica,Miguel Ángel Ortiz Arias,Match Report,
7,1.0,Sun,2023-08-13,21:30,Getafe,0.6,0–0,1.4,Barcelona,13410.0,Coliseum Alfonso Pérez,César Soto,Match Report,
8,1.0,Mon,2023-08-14,19:30,Cádiz,0.7,1–0,0.3,Alavés,19306.0,Estadio Nuevo Mirandilla,Isidro Díaz de Mera,Match Report,
9,1.0,Mon,2023-08-14,21:30,Atlético Madrid,2.4,3–1,0.9,Granada,56164.0,Estadio Cívitas Metropolitano,Juan Pulido,Match Report,
10,,,,,,,,,,,,,,
11,2.0,Fri,2023-08-18,19:30,Mallorca,0.4,0–1,1.8,Villarreal,17775.0,Estadi Mallorca Son Moix,Alberola Rojas,Match Report,
12,2.0,Fri,2023-08-18,21:30,Valencia,1.5,1–0,0.5,Las Palmas,41053.0,Estadio de Mestalla,Javier Villanueva,Match Report,
13,2.0,Sat,2023-08-19,17:00,Real Sociedad,0.7,1–1,1.0,Celta Vigo,30354.0,Reale Arena,Miguel Ángel Ortiz Arias,Match Report,
14,2.0,Sat,2023-08-19,19:30,Almería,1.3,1–3,2.0,Real Madrid,17561.0,Power Horse Stadium,José Sánchez,Match Report,
15,2.0,Sat,2023-08-19,21:30,Osasuna,1.3,0–2,1.5,Athletic Club,20704.0,Estadio El Sadar,José Luis Munuera,Match Report,
16,2.0,Sun,2023-08-20,19:00,Girona,1.4,3–0,0.7,Getafe,11784.0,Estadi Municipal de Montilivi,Jorge Figueroa,Match Report,
17,2.0,Sun,2023-08-20,19:30,Barcelona,3.4,2–0,1.1,Cádiz,39603.0,Estadi Olímpic Lluís Companys,Alejandro Muñíz,Match Report,
18,2.0,Sun,2023-08-20,21:30,Betis,0.7,0–0,0.5,Atlético Madrid,51782.0,Estadio Benito Villamarín,Ricardo de Burgos,Match Report,
19,2.0,Mon,2023-08-21,19:00,Alavés,1.8,4–3,0.6,Sevilla,15308.0,Estadio de Mendizorroza,Guillermo Cuadra,Match Report,
20,2.0,Mon,2023-08-21,21:30,Granada,1.2,0–2,2.1,Rayo Vallecano,17338.0,Estadio Nuevo Los Cármenes,Pablo González,Match Report,
21,,,,,,,,,,,,,,
22,3.0,Fri,2023-08-25,18:30,Las Palmas,0.9,0–0,1.0,Real Sociedad,25335.0,Estadio de Gran Canaria,Guillermo Cuadra,Match Report,
23,3.0,Fri,2023-08-25,21:30,Celta Vigo,1.2,0–1,1.4,Real Madrid,23057.0,Estadio Abanca Balaídos,Isidro Díaz de Mera,Match Report,
24,3.0,Sat,2023-08-26,19:00,Cádiz,1.6,1–1,0.3,Almería,18653.0,Estadio Nuevo Mirandilla,Víctor García,Match Report,
25,3.0,Sat,2023-08-26,19:30,Granada,1.4,3–2,2.6,Mallorca,16368.0,Estadio Nuevo Los Cármenes,Francisco Hernández,Match Report,
26,3.0,Sat,2023-08-26,21:30,Sevilla,1.7,1–2,1.7,Girona,29304.0,Estadio Ramón Sánchez Pizjuán,Jesús Gil,Match Report,
27,3.0,Sun,2023-08-27,17:30,Villarreal,1.9,3–4,3.1,Barcelona,21679.0,Estadio de la Cerámica,Alejandro Hernández,Match Report,
28,3.0,Sun,2023-08-27,19:30,Valencia,1.7,1–2,1.2,Osasuna,42474.0,Estadio de Mestalla,Juan Pulido,Match Report,
29,3.0,Sun,2023-08-27,21:30,Athletic Club,2.9,4–2,0.4,Betis,44340.0,San Mamés,César Soto,Match Report,
30,3.0,Mon,2023-08-28,19:30,Getafe,2.2,1–0,0.7,Alavés,11023.0,Coliseum Alfonso Pérez,Juan Martínez,Match Report,
31,3.0,Mon,2023-08-28,21:30,Rayo Vallecano,0.6,0–7,3.4,Atlético Madrid,13966.0,Estadio del Rayo Vallecano,José Luis Munuera,Match Report,
32,,,,,,,,,,,,,,
33,4.0,Fri,2023-09-01,19:30,Cádiz,2.1,3–1,0.3,Villarreal,18557.0,Estadio Nuevo Mirandilla,Juan Pulido,Match Report,
34,4.0,Fri,2023-09-01,22:00,Almería,3.0,2–3,1.5,Celta Vigo,14196.0,Power Horse Stadium,Ricardo de Burgos,Match Report,
35,4.0,Sat,2023-09-02,14:00,Real Sociedad,2.3,5–3,0.8,Granada,27808.0,Reale Arena,Javier Villanueva,Match Report,
36,4.0,Sat,2023-09-02,16:15,Real Madrid,2.8,2–1,0.4,Getafe,66747.0,Estadio Santiago Bernabéu,Mario Melero,Match Report,
37,4.0,Sat,2023-09-02,18:30,Alavés,1.3,1–0,0.8,Valencia,16641.0,Estadio de Mendizorroza,Pablo González,Match Report,
38,4.0,Sat,2023-09-02,21:00,Betis,1.0,1–0,1.5,Rayo Vallecano,50619.0,Estadio Benito Villamarín,Alejandro Muñíz,Match Report,
39,4.0,Sun,2023-09-03,14:00,Girona,1.0,1–0,1.1,Las Palmas,11619.0,Estadi Municipal de Montilivi,Mateo Busquets,Match Report,
40,4.0,Sun,2023-09-03,16:15,Mallorca,0.4,0–0,0.6,Athletic Club,17043.0,Estadi Mallorca Son Moix,Jorge Figueroa,Match Report,
41,4.0,Sun,2023-09-03,21:00,Osasuna,0.8,1–2,2.0,Barcelona,21966.0,Estadio El Sadar,Miguel Ángel Ortiz Arias,Match Report,
