,Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes
42,,,,,,,,,,,,,,
43,5.0,Fri,2023-09-15,21:00,Rayo Vallecano,2.6,2–0,0.7,Alavés,12116.0,Estadio del Rayo Vallecano,Víctor García,Match Report,
44,5.0,Sat,2023-09-16,14:00,Athletic Club,2.9,3–0,0.3,Cádiz,42881.0,San Mamés,Guillermo Cuadra,Match Report,
45,5.0,Sat,2023-09-16,16:15,Valencia,1.3,3–0,0.6,Atlético Madrid,45363.0,Estadio de Mestalla,Jesús Gil,Match Report,
46,5.0,Sat,2023-09-16,18:30,Celta Vigo,1.3,0–1,0.8,Mallorca,18693.0,Estadio Abanca Balaídos,José Luis Munuera,Match Report,
47,5.0,Sat,2023-09-16,21:00,Barcelona,2.4,5–0,0.8,Betis,45055.0,Estadi Olímpic Lluís Companys,José Sánchez,Match Report,
48,5.0,Sun,2023-09-17,14:00,Getafe,0.5,3–2,1.1,Osasuna,9808.0,Coliseum Alfonso Pérez,Alejandro Hernández,Match Report,
49,5.0,Sun,2023-09-17,16:15,Villarreal,0.9,2–1,1.5,Almería,18467.0,Estadio de la Cerámica,Francisco Hernández,Match Report,
50,5.0,Sun,2023-09-17,18:30,Sevilla,1.7,1–0,1.0,Las Palmas,40578.0,Estadio Ramón Sánchez Pizjuán,Juan Martínez,Match Report,
51,5.0,Sun,2023-09-17,21:00,Real Madrid,2.0,2–1,1.6,Real Sociedad,70092.0,Estadio Santiago Bernabéu,César Soto,Match Report,
52,5.0,Mon,2023-09-18,21:00,Granada,1.6,2–4,2.8,Girona,17323.0,Estadio Nuevo Los Cármenes,Isidro Díaz de Mera,Match Report,
53,,,,,,,,,,,,,,
54,6.0,Fri,2023-09-22,21:00,Alavés,1.1,0–2,1.7,Athletic Club,19421.0,Estadio de Mendizorroza,Alejandro Muñíz,Match Report,
55,6.0,Sat,2023-09-23,14:00,Girona,3.2,5–3,1.8,Mallorca,11511.0,Estadi Municipal de Montilivi,Pablo González,Match Report,
56,6.0,Sat,2023-09-23,16:15,Osasuna,1.4,0–0,0.8,Sevilla,19670.0,Estadio El Sadar,Javier Villanueva,Match Report,
57,6.0,Sat,2023-09-23,18:30,Barcelona,1.6,3–2,1.5,Celta Vigo,43272.0,Estadi Olímpic Lluís Companys,Mario Melero,Match Report,
58,6.0,Sat,2023-09-23,21:00,Almería,2.6,2–2,0.8,Valencia,14266.0,Power Horse Stadium,Mateo Busquets,Match Report,
59,6.0,Sun,2023-09-24,14:00,Real Sociedad,2.0,4–3,1.4,Getafe,29568.0,Reale Arena,Juan Pulido,Match Report,
60,6.0,Sun,2023-09-24,16:15,Rayo Vallecano,1.2,1–1,1.6,Villarreal,12865.0,Estadio del Rayo Vallecano,Jorge Figueroa,Match Report,
61,6.0,Sun,2023-09-24,17:30,Las Palmas,0.6,1–0,0.0,Granada,24848.0,Estadio de Gran Canaria,Ricardo de Burgos,Match Report,
62,6.0,Sun,2023-09-24,18:30,Betis,1.8,1–1,0.2,Cádiz,56087.0,Estadio Benito Villamarín,Miguel Ángel Ortiz Arias,Match Report,
63,6.0,Sun,2023-09-24,21:00,Atlético Madrid,1.4,3–1,1.0,Real Madrid,69082.0,Estadio Cívitas Metropolitano,Alberola Rojas,Match Report,
64,,,,,,,,,,,,,,
65,7.0,Tue,2023-09-26,19:00,Sevilla,2.2,5–1,1.8,Almería,35729.0,Estadio Ramón Sánchez Pizjuán,Guillermo Cuadra,Match Report,
66,7.0,Tue,2023-09-26,21:30,Mallorca,0.8,2–2,1.9,Barcelona,19939.0,Estadi Mallorca Son Moix,Alejandro Muñíz,Match Report,
67,7.0,Wed,2023-09-27,19:00,Athletic Club,0.7,2–2,1.4,Getafe,43091.0,San Mamés,Isidro Díaz de Mera,Match Report,
68,7.0,Wed,2023-09-27,19:00,Real Madrid,1.7,2–0,0.7,Las Palmas,65017.0,Estadio Santiago Bernabéu,José Luis Munuera,Match Report,
69,7.0,Wed,2023-09-27,19:00,Villarreal,1.8,1–2,2.1,Girona,17188.0,Estadio de la Cerámica,José Sánchez,Match Report,
70,7.0,Wed,2023-09-27,21:30,Cádiz,0.6,0–0,0.3,Rayo Vallecano,18505.0,Estadio Nuevo Mirandilla,Francisco Hernández,Match Report,
71,7.0,Wed,2023-09-27,21:30,Valencia,0.4,0–1,0.2,Real Sociedad,44200.0,Estadio de Mestalla,Alejandro Hernández,Match Report,
72,7.0,Thu,2023-09-28,19:00,Celta Vigo,0.6,1–1,2.6,Alavés,16852.0,Estadio Abanca Balaídos,César Soto,Match Report,
73,7.0,Thu,2023-09-28,19:00,Granada,1.8,1–1,0.9,Betis,18936.0,Estadio Nuevo Los Cármenes,Víctor García,Match Report,
74,7.0,Thu,2023-09-28,21:30,Osasuna,1.0,0–2,1.5,Atlético Madrid,20192.0,Estadio El Sadar,Juan Martínez,Match Report,
75,,,,,,,,,,,,,,
76,8.0,Fri,2023-09-29,21:00,Barcelona,2.4,1–0,1.1,Sevilla,41116.0,Estadi Olímpic Lluís Companys,Miguel Ángel Ortiz Arias,Match Report,
77,8.0,Sat,2023-09-30,14:00,Getafe,0.9,0–0,0.1,Villarreal,11255.0,Coliseum Alfonso Pérez,Mateo Busquets,Match Report,
78,8.0,Sat,2023-09-30,16:15,Rayo Vallecano,2.3,2–2,1.5,Mallorca,11991.0,Estadio del Rayo Vallecano,Mario Melero,Match Report,
79,8.0,Sat,2023-09-30,18:30,Girona,1.6,0–3,2.3,Real Madrid,14184.0,Estadi Municipal de Montilivi,Juan Pulido,Match Report,
80,8.0,Sat,2023-09-30,21:00,Real Sociedad,1.4,3–0,1.8,Athletic Club,38229.0,Reale Arena,Jesús Gil,Match Report,
81,8.0,Sun,2023-10-01,14:00,Almería,2.9,3–3,2.9,Granada,14264.0,Power Horse Stadium,Pablo González,Match Report,
82,8.0,Sun,2023-10-01,16:15,Alavés,1.5,0–2,1.1,Osasuna,19035.0,Estadio de Mendizorroza,Jorge Figueroa,Match Report,
83,8.0,Sun,2023-10-01,21:00,Atlético Madrid,2.7,3–2,0.8,Cádiz,53421.0,Estadio Cívitas Metropolitano,Javier Villanueva,Match Report,
84,8.0,Sun,2023-10-01,21:00,Betis,1.6,3–0,0.7,Valencia,50163.0,Estadio Benito Villamarín,Ricardo de Burgos,Match Report,
85,8.0,Mon,2023-10-02,20:00,Las Palmas,1.7,2–1,1.5,Celta Vigo,22472.0,Estadio de Gran Canaria,Alberola Rojas,Match Report,
86,,,,,,,,,,,,,,
87,9.0,Fri,2023-10-06,21:00,Athletic Club,1.9,3–0,0.1,Almería,43677.0,San Mamés,Víctor García,Match Report,
88,9.0,Sat,2023-10-07,14:00,Cádiz,0.4,0–1,1.2,Girona,16438.0,Estadio Nuevo Mirandilla,Juan Martínez,Match Report,
89,9.0,Sat,2023-10-07,16:15,Real Madrid,3.2,4–0,0.5,Osasuna,70864.0,Estadio Santiago Bernabéu,Guillermo Cuadra,Match Report,
90,9.0,Sat,2023-10-07,18:30,Mallorca,0.6,1–1,0.5,Valencia,17659.0,Estadi Mallorca Son Moix,Francisco Hernández,Match Report,
91,9.0,Sat,2023-10-07,21:00,Sevilla,1.0,2–2,1.0,Rayo Vallecano,35817.0,Estadio Ramón Sánchez Pizjuán,Isidro Díaz de Mera,Match Report,
92,9.0,Sun,2023-10-08,14:00,Villarreal,1.0,1–2,1.1,Las Palmas,16249.0,Estadio de la Cerámica,Alejandro Muñíz,Match Report,
93,9.0,Sun,2023-10-08,16:15,Atlético Madrid,2.2,2–1,1.2,Real Sociedad,65607.0,Estadio Cívitas Metropolitano,José Luis Munuera,Match Report,
94,9.0,Sun,2023-10-08,18:30,Alavés,1.3,1–1,0.9,Betis,18288.0,Estadio de Mendizorroza,Alejandro Hernández,Match Report,
95,9.0,Sun,2023-10-08,18:30,Celta Vigo,3.1,2–2,0.7,Getafe,17953.0,Estadio Abanca Balaídos,José Sánchez,Match Report,
96,9.0,Sun,2023-10-08,21:00,Granada,0.8,2–2,3.0,Barcelona,20354.0,Estadio Nuevo Los Cármenes,César Soto,Match Report,
97,,,,,,,,,,,,,,
98,10.0,Fri,2023-10-20,21:00,Osasuna,2.1,2–0,0.6,Granada,19739.0,Estadio El Sadar,Mateo Busquets,Match Report,
99,10.0,Sat,2023-10-21,14:00,Real Sociedad,1.3,1–0,1.9,Mallorca,31279.0,Reale Arena,Jorge Figueroa,Match Report,
100,10.0,Sat,2023-10-21,16:15,Getafe,1.5,1–1,1.1,Betis,13926.0,Coliseum Alfonso Pérez,César Soto,Match Report,
101,10.0,Sat,2023-10-21,18:30,Sevilla,1.5,1–1,1.6,Real Madrid,41212.0,Estadio Ramón Sánchez Pizjuán,Ricardo de Burgos,Match Report,
102,10.0,Sat,2023-10-21,21:00,Celta Vigo,0.9,0–3,1.8,Atlético Madrid,20282.0,Estadio Abanca Balaídos,Guillermo Cuadra,Match Report,
103,10.0,Sun,2023-10-22,13:00,Las Palmas,1.3,0–1,1.4,Rayo Vallecano,24548.0,Estadio de Gran Canaria,Javier Villanueva,Match Report,
104,10.0,Sun,2023-10-22,16:15,Girona,1.9,5–2,1.0,Almería,12884.0,Estadi Municipal de Montilivi,Miguel Ángel Ortiz Arias,Match Report,
105,10.0,Sun,2023-10-22,18:30,Villarreal,1.5,1–1,1.7,Alavés,17498.0,Estadio de la Cerámica,Jesús Gil,Match Report,
106,10.0,Sun,2023-10-22,21:00,Barcelona,1.3,1–0,0.4,Athletic Club,38194.0,Estadi Olímpic Lluís Companys,Juan Martínez,Match Report,
107,10.0,Mon,2023-10-23,21:00,Valencia,1.5,2–0,0.6,Cádiz,41647.0,Estadio de Mestalla,Pablo González,Match Report,
108,,,,,,,,,,,,,,
109,11.0,Fri,2023-10-27,21:00,Girona,0.6,1–0,0.2,Celta Vigo,12671.0,Estadi Municipal de Montilivi,Isidro Díaz de Mera,Match Report,
110,11.0,Sat,2023-10-28,14:00,Almería,0.3,1–2,0.9,Las Palmas,12132.0,Power Horse Stadium,Francisco Hernández,Match Report,
111,11.0,Sat,2023-10-28,16:15,Barcelona,1.5,1–2,1.1,Real Madrid,50112.0,Estadi Olímpic Lluís Companys,Jesús Gil,Match Report,
112,11.0,Sat,2023-10-28,18:30,Mallorca,0.9,0–0,0.2,Getafe,15310.0,Estadi Mallorca Son Moix,Pablo González,Match Report,
113,11.0,Sat,2023-10-28,21:00,Cádiz,1.1,2–2,1.2,Sevilla,18886.0,Estadio Nuevo Mirandilla,César Soto,Match Report,
114,11.0,Sun,2023-10-29,14:00,Betis,1.2,2–1,0.4,Osasuna,49123.0,Estadio Benito Villamarín,José Sánchez,Match Report,
115,11.0,Sun,2023-10-29,16:15,Rayo Vallecano,1.0,2–2,2.0,Real Sociedad,12790.0,Estadio del Rayo Vallecano,Mateo Busquets,Match Report,
116,11.0,Sun,2023-10-29,18:30,Athletic Club,1.9,2–2,1.9,Valencia,46563.0,San Mamés,Jorge Figueroa,Match Report,
117,11.0,Sun,2023-10-29,21:00,Atlético Madrid,1.3,2–1,0.5,Alavés,50009.0,Estadio Cívitas Metropolitano,Alejandro Muñíz,Match Report,
118,11.0,Mon,2023-10-30,21:00,Granada,2.1,2–3,1.6,Villarreal,16638.0,Estadio Nuevo Los Cármenes,Javier Villanueva,Match Report,
119,,,,,,,,,,,,,,
120,12.0,Fri,2023-11-03,20:00,Las Palmas,0.4,2–1,1.2,Atlético Madrid,30080.0,Estadio de Gran Canaria,Mario Melero,Match Report,
121,12.0,Sat,2023-11-04,14:00,Osasuna,1.4,2–4,2.2,Girona,20100.0,Estadio El Sadar,José Luis Munuera,Match Report,
122,12.0,Sat,2023-11-04,16:15,Betis,2.2,2–0,0.6,Mallorca,50909.0,Estadio Benito Villamarín,Miguel Ángel Ortiz Arias,Match Report,
123,12.0,Sat,2023-11-04,18:30,Celta Vigo,2.1,1–1,0.9,Sevilla,19023.0,Estadio Abanca Balaídos,Alejandro Hernández,Match Report,
124,12.0,Sat,2023-11-04,21:00,Real Sociedad,0.9,0–1,1.2,Barcelona,37555.0,Reale Arena,Alberola Rojas,Match Report,
125,12.0,Sun,2023-11-05,14:00,Alavés,2.4,1–0,0.5,Almería,16380.0,Estadio de Mendizorroza,Juan Pulido,Match Report,
126,12.0,Sun,2023-11-05,16:15,Valencia,1.2,1–0,0.5,Granada,44922.0,Estadio de Mestalla,Víctor García,Match Report,
127,12.0,Sun,2023-11-05,18:30,Villarreal,2.1,2–3,2.3,Athletic Club,18709.0,Estadio de la Cerámica,Guillermo Cuadra,Match Report,
128,12.0,Sun,2023-11-05,21:00,Real Madrid,2.2,0–0,0.1,Rayo Vallecano,70220.0,Estadio Santiago Bernabéu,Juan Martínez,Match Report,
129,12.0,Mon,2023-11-06,21:00,Getafe,1.2,1–0,0.5,Cádiz,9853.0,Coliseum Alfonso Pérez,Ricardo de Burgos,Match Report,
130,,,,,,,,,,,,,,
131,13.0,Fri,2023-11-10,21:00,Athletic Club,4.6,4–3,2.1,Celta Vigo,44435.0,San Mamés,Juan Pulido,Match Report,
132,13.0,Sat,2023-11-11,14:00,Rayo Vallecano,1.7,1–2,4.5,Girona,13177.0,Estadio del Rayo Vallecano,Pablo González,Match Report,
133,13.0,Sat,2023-11-11,16:15,Almería,0.4,1–3,2.4,Real Sociedad,13016.0,Power Horse Stadium,Isidro Díaz de Mera,Match Report,
134,13.0,Sat,2023-11-11,18:30,Osasuna,1.0,1–1,0.4,Las Palmas,20125.0,Estadio El Sadar,Jorge Figueroa,Match Report,
135,13.0,Sat,2023-11-11,18:30,Granada,1.7,1–1,2.3,Getafe,18103.0,Estadio Nuevo Los Cármenes,Alejandro Muñíz,Match Report,
136,13.0,Sat,2023-11-11,21:00,Real Madrid,1.7,5–1,1.7,Valencia,72475.0,Estadio Santiago Bernabéu,José Sánchez,Match Report,
137,13.0,Sun,2023-11-12,16:15,Barcelona,1.6,2–1,1.7,Alavés,38183.0,Estadi Olímpic Lluís Companys,Mateo Busquets,Match Report,
138,13.0,Sun,2023-11-12,18:30,Sevilla,0.7,1–1,1.8,Betis,42222.0,Estadio Ramón Sánchez Pizjuán,Jesús Gil,Match Report,
139,13.0,Sun,2023-11-12,21:00,Atlético Madrid,3.9,3–1,0.8,Villarreal,56632.0,Estadio Cívitas Metropolitano,Francisco Hernández,Match Report,
140,,,,,,,,,,,,,,
141,14.0,Fri,2023-11-24,21:00,Alavés,0.8,3–1,1.1,Granada,15705.0,Estadio de Mendizorroza,Alberola Rojas,Match Report,
142,14.0,Sat,2023-11-25,14:00,Rayo Vallecano,0.7,1–1,1.0,Barcelona,14148.0,Estadio del Rayo Vallecano,José Luis Munuera,Match Report,
143,14.0,Sat,2023-11-25,16:15,Valencia,0.5,0–0,0.8,Celta Vigo,43375.0,Estadio de Mestalla,César Soto,Match Report,
144,14.0,Sat,2023-11-25,18:30,Getafe,1.2,2–1,1.8,Almería,10906.0,Coliseum Alfonso Pérez,Alejandro Hernández,Match Report,
145,14.0,Sat,2023-11-25,21:00,Atlético Madrid,1.7,1–0,1.1,Mallorca,58119.0,Estadio Cívitas Metropolitano,Juan Martínez,Match Report,
146,14.0,Sun,2023-11-26,14:00,Villarreal,2.4,3–1,1.0,Osasuna,16389.0,Estadio de la Cerámica,Ricardo de Burgos,Match Report,
147,14.0,Sun,2023-11-26,16:15,Real Sociedad,0.7,2–1,0.6,Sevilla,33879.0,Reale Arena,Miguel Ángel Ortiz Arias,Match Report,
148,14.0,Sun,2023-11-26,18:30,Cádiz,1.2,0–3,1.6,Real Madrid,20325.0,Estadio Nuevo Mirandilla,Guillermo Cuadra,Match Report,
149,14.0,Sun,2023-11-26,21:00,Betis,1.4,1–0,0.6,Las Palmas,48132.0,Estadio Benito Villamarín,Víctor García,Match Report,
150,14.0,Mon,2023-11-27,21:00,Girona,1.3,1–1,1.5,Athletic Club,13123.0,Estadi Municipal de Montilivi,Mario Melero,Match Report,
151,,,,,,,,,,,,,,
152,13.0,Wed,2023-11-29,21:00,Mallorca,1.1,1–1,0.3,Cádiz,13821.0,Estadi Mallorca Son Moix,Javier Villanueva,Match Report,
153,,,,,,,,,,,,,,
154,15.0,Fri,2023-12-01,20:00,Las Palmas,1.5,2–0,0.9,Getafe,21912.0,Estadio de Gran Canaria,Mateo Busquets,Match Report,
155,15.0,Sat,2023-12-02,14:00,Girona,1.6,2–1,1.0,Valencia,13343.0,Estadi Municipal de Montilivi,Javier Villanueva,Match Report,
156,15.0,Sat,2023-12-02,16:15,Athletic Club,1.3,4–0,0.5,Rayo Vallecano,44689.0,San Mamés,Francisco Hernández,Match Report,
157,15.0,Sat,2023-12-02,18:30,Real Madrid,1.8,2–0,0.1,Granada,70685.0,Estadio Santiago Bernabéu,Pablo González,Match Report,
158,15.0,Sat,2023-12-02,21:00,Osasuna,0.7,1–1,1.7,Real Sociedad,20859.0,Estadio El Sadar,Juan Pulido,Match Report,
159,15.0,Sun,2023-12-03,14:00,Mallorca,0.8,0–0,0.3,Alavés,15090.0,Estadi Mallorca Son Moix,Jorge Figueroa,Match Report,
160,15.0,Sun,2023-12-03,16:15,Almería,2.4,0–0,0.5,Betis,14253.0,Power Horse Stadium,Alejandro Muñíz,Match Report,
161,15.0,Sun,2023-12-03,18:30,Sevilla,1.8,1–1,1.2,Villarreal,33898.0,Estadio Ramón Sánchez Pizjuán,Isidro Díaz de Mera,Match Report,
162,15.0,Sun,2023-12-03,21:00,Barcelona,2.6,1–0,0.6,Atlético Madrid,34568.0,Estadi Olímpic Lluís Companys,José Sánchez,Match Report,
163,15.0,Mon,2023-12-04,21:00,Celta Vigo,2.4,1–1,0.3,Cádiz,17302.0,Estadio Abanca Balaídos,Jesús Gil,Match Report,
164,,,,,,,,,,,,,,
165,16.0,Fri,2023-12-08,21:00,Getafe,0.7,1–0,0.1,Valencia,11515.0,Coliseum Alfonso Pérez,Guillermo Cuadra,Match Report,
166,16.0,Sat,2023-12-09,14:00,Alavés,1.9,0–1,0.4,Las Palmas,15971.0,Estadio de Mendizorroza,José Luis Munuera,Match Report,
167,16.0,Sat,2023-12-09,16:15,Betis,1.3,1–1,1.0,Real Madrid,52756.0,Estadio Benito Villamarín,César Soto,Match Report,
168,16.0,Sat,2023-12-09,18:30,Villarreal,2.2,0–3,1.5,Real Sociedad,19344.0,Estadio de la Cerámica,Mario Melero,Match Report,
169,16.0,Sat,2023-12-09,21:00,Mallorca,0.5,1–0,0.6,Sevilla,16041.0,Estadi Mallorca Son Moix,Alberola Rojas,Match Report,
170,16.0,Sun,2023-12-10,14:00,Atlético Madrid,2.2,2–1,1.3,Almería,55473.0,Estadio Cívitas Metropolitano,Ricardo de Burgos,Match Report,
171,16.0,Sun,2023-12-10,18:30,Cádiz,0.9,1–1,1.6,Osasuna,18356.0,Estadio Nuevo Mirandilla,Juan Martínez,Match Report,
172,16.0,Sun,2023-12-10,21:00,Barcelona,3.7,2–4,2.5,Girona,42848.0,Estadi Olímpic Lluís Companys,Isidro Díaz de Mera,Match Report,
173,16.0,Mon,2023-12-11,21:00,Granada,0.7,1–1,1.1,Athletic Club,12849.0,Estadio Nuevo Los Cármenes,Miguel Ángel Ortiz Arias,Match Report,
174,16.0,Mon,2023-12-11,21:00,Rayo Vallecano,1.2,0–0,0.1,Celta Vigo,11796.0,Estadio del Rayo Vallecano,Víctor García,Match Report,
175,,,,,,,,,,,,,,
176,17.0,Fri,2023-12-15,21:00,Osasuna,1.2,1–0,0.7,Rayo Vallecano,18586.0,Estadio El Sadar,Javier Villanueva,Match Report,
177,17.0,Sat,2023-12-16,14:00,Celta Vigo,1.4,1–0,0.5,Granada,18027.0,Estadio Abanca Balaídos,José Sánchez,Match Report,
178,17.0,Sat,2023-12-16,16:15,Athletic Club,2.4,2–0,0.4,Atlético Madrid,48781.0,San Mamés,Jesús Gil,Match Report,
179,17.0,Sat,2023-12-16,18:30,Sevilla,1.0,0–3,2.4,Getafe,30005.0,Estadio Ramón Sánchez Pizjuán,Juan Pulido,Match Report,
180,17.0,Sat,2023-12-16,21:00,Valencia,0.5,1–1,3.2,Barcelona,46492.0,Estadio de Mestalla,Miguel Ángel Ortiz Arias,Match Report,
181,17.0,Sun,2023-12-17,14:00,Almería,0.3,0–0,1.9,Mallorca,11936.0,Power Horse Stadium,Pablo González,Match Report,
182,17.0,Sun,2023-12-17,16:15,Real Sociedad,1.1,0–0,1.1,Betis,33172.0,Reale Arena,Mateo Busquets,Match Report,
183,17.0,Sun,2023-12-17,17:30,Las Palmas,0.7,1–1,1.6,Cádiz,25275.0,Estadio de Gran Canaria,Alejandro Muñíz,Match Report,
184,17.0,Sun,2023-12-17,21:00,Real Madrid,2.3,4–1,0.8,Villarreal,70500.0,Estadio Santiago Bernabéu,Jorge Figueroa,Match Report,
185,17.0,Mon,2023-12-18,21:00,Girona,1.7,3–0,0.7,Alavés,11812.0,Estadi Municipal de Montilivi,Francisco Hernández,Match Report,
186,,,,,,,,,,,,,,
187,18.0,Tue,2023-12-19,19:00,Rayo Vallecano,0.3,0–1,0.3,Valencia,12290.0,Estadio del Rayo Vallecano,Alberola Rojas,Match Report,
188,18.0,Tue,2023-12-19,21:30,Atlético Madrid,2.0,3–3,2.0,Getafe,46401.0,Estadio Cívitas Metropolitano,José Luis Munuera,Match Report,
189,18.0,Tue,2023-12-19,21:30,Granada,0.9,0–3,0.5,Sevilla,16534.0,Estadio Nuevo Los Cármenes,Mateo Busquets,Match Report,
