,Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes
42,4.0,Mon,2022-09-05,21:00,Valladolid,1.2,1–0,0.5,Almería,20260.0,Estadio Municipal José Zorrilla,Pablo González,Match Report,
43,,,,,,,,,,,,,,
44,5.0,Fri,2022-09-09,21:00,Girona,1.9,2–1,0.5,Valladolid,10053.0,Estadi Municipal de Montilivi,César Soto,Match Report,
45,5.0,Sat,2022-09-10,14:00,Rayo Vallecano,1.7,2–1,1.7,Valencia,12085.0,Estadio del Rayo Vallecano,Jesús Gil,Match Report,
46,5.0,Sat,2022-09-10,16:15,Espanyol,2.5,2–3,2.0,Sevilla,20135.0,RCDE Stadium,Guillermo Cuadra,Match Report,
47,5.0,Sat,2022-09-10,18:30,Cádiz,0.4,0–4,3.4,Barcelona,19530.0,Estadio Nuevo Mirandilla,Carlos del Cerro,Match Report,
48,5.0,Sat,2022-09-10,21:00,Atlético Madrid,0.7,4–1,1.7,Celta Vigo,52247.0,Estadio Cívitas Metropolitano,Alejandro Hernández,Match Report,
49,5.0,Sun,2022-09-11,14:00,Real Madrid,2.3,4–1,0.5,Mallorca,54816.0,Estadio Santiago Bernabéu,Jorge Figueroa,Match Report,
50,5.0,Sun,2022-09-11,16:15,Elche,0.9,1–4,2.7,Athletic Club,24176.0,Estadio Manuel Martínez Valero,Mario Melero,Match Report,
51,5.0,Sun,2022-09-11,18:30,Getafe,1.1,2–1,1.2,Real Sociedad,11112.0,Coliseum Alfonso Pérez,Juan Pulido,Match Report,
52,5.0,Sun,2022-09-11,21:00,Betis,1.4,1–0,1.7,Villarreal,53276.0,Estadio Benito Villamarín,Ricardo de Burgos,Match Report,
53,5.0,Mon,2022-09-12,21:00,Almería,0.2,0–1,2.0,Osasuna,12397.0,Power Horse Stadium,Javier Villanueva,Match Report,
54,,,,,,,,,,,,,,
55,6.0,Fri,2022-09-16,21:00,Valladolid,1.5,0–1,0.3,Cádiz,20295.0,Estadio Municipal José Zorrilla,José Sánchez,Match Report,
56,6.0,Sat,2022-09-17,14:00,Mallorca,0.6,1–0,0.4,Almería,12687.0,Iberostar Estadi,Juan Martínez,Match Report,
57,6.0,Sat,2022-09-17,16:15,Barcelona,3.9,3–0,0.0,Elche,85073.0,Camp Nou,Alejandro Muñíz,Match Report,
58,6.0,Sat,2022-09-17,18:30,Valencia,1.7,3–0,0.5,Celta Vigo,40965.0,Estadio de Mestalla,Pablo González,Match Report,
59,6.0,Sat,2022-09-17,21:00,Athletic Club,1.9,3–2,0.7,Rayo Vallecano,43484.0,San Mamés,Antonio Matéu Lahoz,Match Report,
60,6.0,Sun,2022-09-18,14:00,Osasuna,0.5,0–2,0.8,Getafe,18255.0,Estadio El Sadar,Isidro Díaz de Mera,Match Report,
61,6.0,Sun,2022-09-18,16:15,Villarreal,1.5,1–1,0.6,Sevilla,18292.0,Estadio Ciudad de Valencia,Alejandro Hernández,Match Report,
