,Wk,Day,Date,Time,Home,Away,FTR,Attendance,B365H,B365D,B365A,AttackStrengthHome,AttackStrengthAway,DefenseWeaknessHome,DefenseWeaknessAway,Season,AvgHomePoints,AvgAwayPoints,AvgLosingHomePoints,AvgLosingAwayPoints,AvgGoalDiffHome,AvgGoalDiffAway,HomeWinsRatio,HomeDrawsRatio,AwayWinsRatio,AwayDrawsRatio,AvgHomeCornersLast5,AvgAwayCornersLast5,AvgHomeShotsLast5,AvgHomeShotsOnTargetLast5,AvgAwayShotsLast5,AvgAwayShotsOnTargetLast5,elo,elo_away,FormHomeTeam,FormAwayTeam,ProbabilityDraw,ProbabilityHomeWin,ProbabilityAwayWin
15,2.0,Sat,2019-08-24,20:00,Celta Vigo,Valencia,H,20034.0,3.1,3.4,2.25,0.0625,0.0,0.1666666666666666,0.0,19/20,0.0,0.0,3.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,7.0,4.0,0.0,0.0,1673.75488281,1809.79138184,0.0,0.0,0.2406887692439998,0.2997046708593908,0.4596065598966093
16,2.0,Sun,2019-08-25,16:00,Alavés,Espanyol,D,14567.0,2.45,3.2,3.0,0.0588235294117647,0.0,0.0,0.0,19/20,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,9.0,2.0,0.0,0.0,1690.25708008,1733.39648438,5128.921875,0.0,0.2414151919128943,0.4321409300097926,0.3264438780773131
17,2.0,Sun,2019-08-25,16:00,Mallorca,Real Sociedad,A,18028.0,3.1,3.1,2.4,0.1176470588235294,0.0555555555555555,0.0555555555555555,0.0588235294117647,19/20,3.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,9.0,3.0,16.0,4.0,12.0,3.0,1577.60168457,1724.97375488,5156.627929679999,1695.628356935,0.2401198484287192,0.2841811182113241,0.4756990333599566
18,2.0,Sun,2019-08-25,18:00,Leganés,Atlético Madrid,A,11742.0,4.75,3.4,1.8,0.0,0.0,0.0526315789473684,0.0,19/20,0.0,0.0,3.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,13.0,2.0,0.0,0.0,1660.39099121,1882.99230957,0.0,0.0,0.2337882937786492,0.1886829204829999,0.5775287857383508
19,2.0,Sun,2019-08-25,20:00,Barcelona,Betis,H,79159.0,1.25,6.0,10.0,0.0,0.0,0.0,0.0,19/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1989.07739258,1675.50354004,0.0,0.0,0.1861910254355049,0.8128916003985123,0.0009173741659829
20,3.0,Fri,2019-08-30,19:00,Sevilla,Celta Vigo,D,37787.0,1.53,4.2,6.0,0.0,0.0,0.0,0.0,19/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1769.71789551,1683.53088379,0.0,0.0,0.2309255616783566,0.6069876649649706,0.1620867733566727
21,3.0,Fri,2019-08-30,21:00,Athletic Club,Real Sociedad,H,46697.0,2.3,3.1,3.4,0.0434782608695652,0.0869565217391304,0.0,0.0434782608695652,19/20,3.0,2.0,0.0,1.0,1.0,0.5,1.0,0.0,0.5,0.5,3.0,4.0,11.0,5.0,12.0,3.5,1739.02172852,1731.58276367,5599.217102055,3420.18562826,0.2388612403827809,0.5038131004268299,0.2573256591903891
22,3.0,Sat,2019-08-31,16:00,Osasuna,Barcelona,D,16742.0,10.0,5.0,1.33,0.0,0.0,0.0,0.04,19/20,1.0,0.0,2.0,3.0,0.0,-1.0,0.0,1.0,0.0,0.0,6.0,8.0,6.0,2.0,11.0,2.0,1653.21948242,1991.53100586,1847.673828125,0.0,0.2161427191843919,0.0763069947310992,0.7075502860845089
23,3.0,Sat,2019-08-31,18:00,Levante,Valladolid,H,19347.0,2.0,3.5,3.75,0.074074074074074,0.12,0.04,0.074074074074074,19/20,3.0,2.0,0.0,1.0,1.0,0.5,1.0,0.0,0.5,0.5,7.0,2.0,16.0,4.0,11.5,2.5,1688.10876465,1637.33300781,5048.256958005,3483.69466146,0.235070375730069,0.5622545670698897,0.2026750572000412
24,3.0,Sat,2019-08-31,18:00,Getafe,Alavés,D,10806.0,1.72,3.4,5.75,0.0344827586206896,0.0,0.04,0.0,19/20,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,6.0,2.0,0.0,0.0,1755.8137207,1689.59973145,1712.72473145,0.0,0.2333759977159091,0.5821299541854958,0.1844940480985951
25,3.0,Sat,2019-08-31,20:00,Betis,Leganés,H,47819.0,1.95,3.3,4.33,0.0333333333333333,0.0,0.0769230769230769,0.0,19/20,0.0,0.0,3.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,13.0,4.0,0.0,0.0,1673.69970703,1655.96289062,0.0,0.0,0.2380919377178866,0.5180121883459883,0.2438958739361251
26,3.0,Sun,2019-09-01,16:00,Valencia,Mallorca,H,40441.0,1.4,4.75,8.0,0.0285714285714285,0.0,0.0344827586206896,0.0,19/20,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,14.0,6.0,0.0,0.0,1800.66516113,1571.64245605,1645.536804195,0.0,0.2058748902286585,0.7526207823359337,0.0415043274354079
27,3.0,Sun,2019-09-01,18:00,Atlético Madrid,Eibar,H,56664.0,1.4,4.0,10.0,0.03125,0.037037037037037,0.0,0.0625,19/20,3.0,0.5,0.0,2.5,1.0,-0.5,1.0,0.0,0.0,0.5,3.0,4.5,5.0,5.0,11.5,2.5,1888.0703125,1704.97875977,5199.303039555,851.4605305983333,0.2152333283264362,0.7121070447397171,0.0726596269338465
28,3.0,Sun,2019-09-01,18:00,Espanyol,Granada,A,20870.0,2.05,3.3,4.0,0.0,0.1290322580645161,0.064516129032258,0.1025641025641025,19/20,0.0,1.0,3.0,2.0,-2.0,0.0,0.0,0.0,0.0,1.0,8.0,7.0,7.0,2.0,14.0,7.0,1735.75695801,1600.48181152,0.0,1734.30847168,0.2237250964851364,0.6635662513141264,0.1127086522007371
29,3.0,Sun,2019-09-01,20:00,Villarreal,Real Madrid,D,20128.0,3.6,4.0,1.9,0.1081081081081081,0.1034482758620689,0.1379310344827586,0.027027027027027,19/20,1.0,3.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,2.0,4.0,12.0,7.0,17.0,11.0,1721.4263916,1844.27880859,1722.018188475,5103.884765625,0.2412202082259855,0.3180311365294811,0.4407486552445333
30,4.0,Fri,2019-09-13,20:00,Mallorca,Athletic Club,D,16390.0,3.4,3.1,2.3,0.0512820512820512,0.0294117647058823,0.0588235294117647,0.0256410256410256,19/20,1.5,1.0,1.5,2.0,0.0,0.0,0.5,0.0,0.0,1.0,7.0,6.0,14.0,4.0,4.0,2.0,1568.80541992,1747.45812988,2592.6050415,1663.570617675,0.2380195002954058,0.2427139389147757,0.5192665607898185
31,4.0,Sat,2019-09-14,12:00,Real Madrid,Levante,H,60401.0,1.22,6.5,12.0,0.0256410256410256,0.0,0.0294117647058823,0.0256410256410256,19/20,1.0,0.0,2.0,3.0,0.0,-1.0,0.0,1.0,0.0,0.0,4.0,9.0,22.0,4.0,16.0,4.0,1843.05310059,1695.06408691,1662.544738765,0.0,0.2216023043466946,0.6771150480316769,0.1012826476216285
32,4.0,Sat,2019-09-14,15:00,Leganés,Villarreal,A,7670.0,2.45,3.1,3.2,0.0,0.0277777777777777,0.0555555555555555,0.0476190476190476,19/20,0.0,0.0,3.0,3.0,-1.0,-1.0,0.0,0.0,0.0,0.0,8.5,3.0,11.5,3.0,23.0,6.0,1650.17578125,1722.65222168,0.0,0.0,0.2419475553847368,0.389851802822641,0.3682006417926223
33,4.0,Sat,2019-09-14,17:30,Real Sociedad,Atlético Madrid,H,34719.0,3.8,3.2,2.1,0.0,0.0256410256410256,0.0,0.0,19/20,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,6.0,4.0,1723.1463623,1890.71179199,0.0,5075.306030264999,0.2388522975037596,0.2571592058911384,0.5039884966051019
34,4.0,Sat,2019-09-14,20:00,Barcelona,Valencia,H,81617.0,1.44,4.75,7.0,0.1136363636363636,0.0,0.0512820512820512,0.0227272727272727,19/20,3.0,0.0,0.0,3.0,3.0,-1.0,1.0,0.0,0.0,0.0,11.0,4.0,20.0,7.0,9.0,1.0,1985.17431641,1803.50219727,5218.508605965,0.0,0.2155047115920315,0.7107607256622315,0.0737345627457369
35,4.0,Sun,2019-09-15,11:00,Eibar,Espanyol,A,5410.0,2.0,3.3,4.0,0.0,0.0,0.0,0.0,19/20,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,5.0,1.0,1702.33728027,1712.66638184,0.0,1696.297180175,0.2399919112863868,0.4789458570459243,0.2810622316676888
36,4.0,Sun,2019-09-15,13:00,Alavés,Sevilla,A,16309.0,4.2,3.2,2.0,0.02,0.0697674418604651,0.0,0.0,19/20,2.0,3.0,1.0,0.0,0.5,1.5,0.5,0.5,1.0,0.0,2.5,5.0,9.5,2.0,11.5,5.0,1693.51367188,1765.34472656,3456.4173177066664,5043.47192383,0.2419434101396625,0.3907821864076196,0.3672744034527178
37,4.0,Sun,2019-09-15,15:00,Celta Vigo,Granada,A,18259.0,1.83,3.6,4.33,0.04,0.1590909090909091,0.0681818181818181,0.08,19/20,1.5,2.0,1.5,1.0,-0.5,1.5,0.5,0.0,0.5,0.5,6.0,6.5,9.0,5.0,14.0,6.5,1687.90405273,1623.57226562,2637.60632324,3437.6806640600003,0.2335920003119191,0.579736630969542,0.1866713687185389
38,4.0,Sun,2019-09-15,17:30,Valladolid,Osasuna,D,20670.0,2.15,3.1,3.75,0.0,0.0217391304347826,0.0,0.0,19/20,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,1630.37768555,1659.5760498,0.0,4951.758728025,0.2409166008559733,0.4521345224227384,0.3069488767212881
39,4.0,Sun,2019-09-15,20:00,Betis,Getafe,D,47884.0,2.2,3.1,3.6,0.0588235294117647,0.0,0.0638297872340425,0.0196078431372549,19/20,1.5,0.0,1.5,3.0,0.0,-1.0,0.5,0.0,0.0,0.0,8.5,4.0,15.0,4.5,6.0,0.0,1679.48693848,1751.8996582,2512.607971185,0.0,0.2419471612804645,0.3899436579957319,0.3681091807238036
40,5.0,Fri,2019-09-20,20:00,Osasuna,Betis,D,15569.0,2.25,3.3,3.25,0.0384615384615384,0.0416666666666666,0.0416666666666666,0.0961538461538461,19/20,1.0,0.0,2.0,3.0,0.0,-3.0,0.0,1.0,0.0,0.0,4.5,0.0,10.5,3.5,4.0,3.0,1660.12915039,1678.38635254,1791.2446695966669,0.0,0.2404152716694547,0.4677236868188908,0.2918610415116545
