depart_date,origin,destination,gate,return_date,found_at,trip_class,value,number_of_changes,duration,distance,show_to_affiliates,actual
2024-07-27,BLL,AGP,,,2024-05-06T10:48:04,0,201,1,975,2356,True,True
2024-07-09,BLL,AGP,,,2024-05-07T02:49:24,0,201,1,1080,2356,True,True
2024-06-02,BLL,AGP,,,2024-05-06T10:23:35,0,201,1,545,2356,True,True
2024-07-28,BLL,AGP,,,2024-05-06T01:25:18,0,201,1,1590,2356,True,True
2024-06-13,BLL,AGP,,,2024-05-07T09:28:25,0,201,1,1575,2356,True,True
2024-06-30,BLL,AGP,,,2024-05-07T06:57:32,0,201,1,1535,2356,True,True
2024-07-10,BLL,AGP,,,2024-05-06T03:00:07,0,201,1,390,2356,True,True
2024-05-23,BLL,AGP,,,2024-05-06T19:47:49,0,203,1,1595,2356,True,True
2024-07-12,BLL,AGP,,,2024-05-06T16:33:58,0,210,1,1555,2356,True,True
2024-05-08,BLL,AGP,,,2024-05-04T15:30:22,0,211,0,210,2356,True,True
2024-10-07,BLL,AGP,,,2024-05-06T10:09:12,0,215,1,1080,2356,True,True
2024-10-05,BLL,AGP,,,2024-05-06T09:47:44,0,221,1,1690,2356,True,True
2024-10-10,BLL,AGP,,,2024-05-04T23:33:14,0,226,1,430,2356,True,True
2024-11-07,BLL,AGP,,,2024-05-06T09:17:37,0,237,1,1805,2356,True,True
2024-11-14,BLL,AGP,,,2024-05-06T09:17:55,0,237,1,1490,2356,True,True
2024-06-16,BLL,AGP,,,2024-05-06T20:37:23,0,241,1,1255,2356,True,True
2024-07-07,BLL,AGP,,,2024-05-04T09:51:20,0,272,1,1665,2356,True,True
2024-07-20,BLL,AGP,,,2024-05-06T20:39:26,0,272,1,820,2356,True,True
2024-07-16,BLL,AGP,,,2024-05-06T02:53:24,0,272,1,700,2356,True,True
2024-07-15,BLL,AGP,,,2024-05-04T13:05:31,0,272,1,395,2356,True,True
2024-07-14,BLL,AGP,,,2024-05-04T16:44:36,0,272,1,1380,2356,True,True
2024-05-16,BLL,AGP,,,2024-05-06T15:57:03,0,276,1,1850,2356,True,True
2024-07-01,BLL,AGP,,,2024-05-06T20:25:09,0,277,0,210,2356,True,True
2024-05-09,BLL,AGP,,,2024-05-05T07:27:46,0,281,1,1080,2356,True,True
2025-01-11,BLL,AGP,,,2024-05-06T18:32:54,0,288,1,1350,2356,True,True
2024-10-06,BLL,AGP,,,2024-05-06T10:09:08,0,288,1,1715,2356,True,True
2024-07-13,BLL,AGP,,,2024-05-06T03:25:53,0,317,1,365,2356,True,True
2024-05-07,BLL,AGP,,,2024-05-04T13:23:08,0,370,1,540,2356,True,True
