depart_date,origin,destination,gate,return_date,found_at,trip_class,value,number_of_changes,duration,distance,show_to_affiliates,actual
2024-09-04,BLL,PMI,,,2024-05-04T14:53:49,0,143,1,1570,1862,True,True
2024-10-09,BLL,PMI,,,2024-05-04T14:01:05,0,143,1,445,1862,True,True
2024-07-18,BLL,PMI,,,2024-05-04T14:47:48,0,143,1,1150,1862,True,True
2024-06-09,BLL,PMI,,,2024-05-05T05:56:25,0,143,1,1590,1862,True,True
2024-12-13,BLL,PMI,,,2024-05-04T17:29:40,0,143,1,935,1862,True,True
2024-07-26,BLL,PMI,,,2024-05-04T16:38:43,0,143,1,460,1862,True,True
2024-06-18,BLL,PMI,,,2024-05-04T11:46:58,0,143,1,1275,1862,True,True
2024-07-13,BLL,PMI,,,2024-05-04T13:43:33,0,143,1,795,1862,True,True
2024-09-18,BLL,PMI,,,2024-05-05T09:24:05,0,143,1,1570,1862,True,True
2025-02-13,BLL,PMI,,,2024-05-04T10:52:59,0,143,1,1475,1862,True,True
2024-07-28,BLL,PMI,,,2024-05-04T16:11:08,0,143,1,1525,1862,True,True
2024-08-11,BLL,PMI,,,2024-05-04T13:58:20,0,143,1,300,1862,True,True
2025-03-04,BLL,PMI,,,2024-05-05T12:23:25,0,143,1,575,1862,True,True
2024-09-26,BLL,PMI,,,2024-05-05T13:48:35,0,143,1,1095,1862,True,True
2024-09-15,BLL,PMI,,,2024-05-05T11:45:20,0,143,1,360,1862,True,True
2025-02-05,BLL,PMI,,,2024-05-04T16:09:10,0,143,1,1290,1862,True,True
2024-09-28,BLL,PMI,,,2024-05-04T14:26:14,0,143,1,1120,1862,True,True
2024-09-12,BLL,PMI,,,2024-05-04T05:17:45,0,143,1,1095,1862,True,True
2024-07-29,BLL,PMI,,,2024-05-04T17:20:45,0,143,1,965,1862,True,True
2024-07-23,BLL,PMI,,,2024-05-04T15:10:41,0,143,1,875,1862,True,True
2024-09-30,BLL,PMI,,,2024-05-04T14:55:30,0,143,1,1340,1862,True,True
2024-09-21,BLL,PMI,,,2024-05-04T08:37:56,0,143,1,1280,1862,True,True
2024-09-11,BLL,PMI,,,2024-05-05T10:06:58,0,143,1,1570,1862,True,True
2024-09-01,BLL,PMI,,,2024-05-06T07:30:07,0,143,1,840,1862,True,True
