Address,Price,Til salg,energyL,timeOnMarketB,timeOnMarketA,pay,sqmPr,sqm,floor,rooms,fees,built,renov,floorLvl,garage,toil,varme,oWall,area,roof,roofType,value,lastPrice,Til leje,depo,size,period,from
"https://www.boligsiden.dk/adresse/lyndbyparken-9-4070-kirke-hyllinge-03500470___9_______?udbud=3e98d76a-ff22-4f84-aeb0-086fb982aafa
",3.695.000 kr.," Lyndbyparken 9, Lyndby, Kirke Hyllinge - Villa på 182 m² - Boligsiden",B,10,10,185000,18790,1007,,5,3002,1985,,1-,,2,varmepumpe,,196.65,,Betontagsten,,,,,,,
"https://www.boligsiden.dk/adresse/noerredamsvej-127-3480-fredensborg-02100536_127_______?udbud=2dce19ce-4e79-467c-8d2b-cd122f4e2fc6
",6.295.000 kr.," Nørredamsvej 127, Fredensborg - Villa på 164 m² - Boligsiden",D,10,10,315000,36867,825,,5,3914,1978,,1-,,2,elvarme,,170.75,,Fibercement herunder asbest,,,,,,,
"https://www.boligsiden.dk/adresse/bukkeballevej-58b-2960-rungsted-kyst-02231096_58b_______?udbud=eb1acbc6-1f41-4836-80c7-b677c4437107
",11.995.000 kr.," Bukkeballevej 58B, Rungsted Kyst - Villa på 184 m² - Boligsiden",C,607,10,600000,62982,1180,,7,7366,1968,2023,1-,,2,varmepumpe,,190.45,,Tagpap med lille hældning,,,,,,,
"https://www.boligsiden.dk/adresse/sankt-knuds-vej-16-2-1903-frederiksberg-c-01470688__16__2____?udbud=d48a3afd-d92c-4ca2-919a-95805784afea
",12.800.000 kr.," Sankt Knuds Vej 16, 2., Frederiksberg C - Ejerlejlighed på 115 m² - Boligsiden",C,10,10,640000,111304,,2,4,6774,1869,,2-2,,2,fjernvarme/blokvarme,,,,Andet materiale,,,,,,,
"https://www.boligsiden.dk/adresse/byvaenget-15-8960-randers-soe-07300262__15_______?udbud=65eff8d0-ca6e-4374-8315-51637de5b0e6
",1.470.000 kr.," Byvænget 15, Kristrup, Randers SØ - Villa på 115 m² - Boligsiden",C,404,10,75000,12733,230,,4,1659,1891,,1-,,1,fjernvarme/blokvarme,,115.45,,Fibercement herunder asbest,,,,,,,
"https://www.boligsiden.dk/adresse/egevej-vaeltesbakke-14-9560-hadsund-08460294__14_______?udbud=166eda5b-fc63-49b8-8147-4ab6f668e6f9
",395.000 kr.," Egevej Væltesbakke 14, Øster Hurup, Hadsund - Fritidsbolig på 66 m² - Boligsiden",,10,10,25000,5766,1007,,2,3524,1960,2005,1-,,1,elvarme,,68.5,,Andet materiale,,,,,,,
"https://www.boligsiden.dk/adresse/lyngen-30-3200-helsinge-02701046__30_______?udbud=84fc8b18-8180-466f-ac24-b2196773ff68
",32.500.000 kr.," Lyngen 30, Annisse, Helsinge - Landejendom på 329 m² - Boligsiden",A2015,10,10,1625000,98784,231851,,7,8569,2019,,1-,,3,varmepumpe,,329,,Betontagsten,,,,,,,
"https://www.boligsiden.dk/adresse/strandlodsvej-14-2-tv-2300-koebenhavn-s-01016996__14__2__tv?udbud=fa4d67cd-654f-4976-8f31-fb9edfd99b59
",2.795.000 kr.," Strandlodsvej 14, 2. tv., København S - Ejerlejlighed på 56 m² - Boligsiden",D,10,10,140000,49911,,2,2,3322,1934,,3-2,,1,fjernvarme/blokvarme,,,,Tegl,,,,,,,
"https://www.boligsiden.dk/adresse/vestre-strandvej-66a-4305-oroe-03161941_66a_______?udbud=1d0ffe80-ac71-4864-991f-b6608460fd12
",2.995.000 kr.," Vestre Strandvej 66A, Brønde, Orø - Fritidsbolig på 77 m² - Boligsiden",,292,10,150000,37673,1253,,3,1944,2018,,1-,,1,elvarme,,79.5,,Tagpap med stor hældning,,,,,,,
"https://www.boligsiden.dk/adresse/mellemvangen-17-9800-hjoerring-08602233__17_______?udbud=d8dc6855-5241-46c3-b5b0-6690c366db7f
",425.000 kr.," Mellemvangen 17, Mygdal, Hjørring - Villa på 134 m² - Boligsiden",C,10,10,25000,3040,850,,5,1068,1973,,1-,,2,varmepumpe,,139.8,,Fibercement herunder asbest,,,,,,,
"https://www.boligsiden.dk/adresse/soendergade-61-8783-hornsyld-07661448__61_______?udbud=3b14ed7f-3ebe-4d49-815f-fcff0ab81523
",1.295.000 kr.," Søndergade 61, Hornsyld - Villa på 148 m² - Boligsiden",C,263,10,65000,8913,2273,,4,1449,1900,1995,1-,,1,fjernvarme/blokvarme,,145.3,,Tegl,,,,,,,
"https://www.boligsiden.dk/adresse/frederikssundsvej-414-0-th-2700-broenshoej-01011964_414_st__th?udbud=5bd50db5-56f0-41c6-8d7d-d635a71b85d2
",1.975.000 kr.," Frederikssundsvej 414, st. th., Brønshøj - Ejerlejlighed på 71 m² - Boligsiden",D,10,10,100000,27817,,0,2,3123,1954,,3-0,,1,fjernvarme/blokvarme,,,,Fibercement herunder asbest,,,,,,,
"https://www.boligsiden.dk/adresse/gladsaxe-moellevej-99-1-th-2860-soeborg-01590211__99__1__th?udbud=64314a6b-6ef0-488a-8667-6f9f8bef6f9c
",3.295.000 kr.," Gladsaxe Møllevej 99, 1. th., Søborg - Ejerlejlighed på 84 m² - Boligsiden",D,195,10,165000,39226,,1,4,5316,1965,,2-1,,2,fjernvarme/blokvarme,,,,Tegl,,,,,,,
"https://www.boligsiden.dk/adresse/egebakken-1-8870-langaa-07300402___1_______?udbud=da761094-a6d0-4ea7-8575-63f052a3666b
",1.795.000 kr.," Egebakken 1, Langå - Villa på 125 m² - Boligsiden",C,302,10,90000,9972,1082,,3,1970,1949,,1-,,3,centralvarme med én fyringsenhed,,180,,Tegl,,,,,,,
"https://www.boligsiden.dk/adresse/solsikkevaenget-87-8200-aarhus-n-07517689__87_______?udbud=47f89be3-4c3a-4c44-b657-83925e787ac4
",4.798.000 kr.," Solsikkevænget 87, Aarhus N - Rækkehus på 138 m² - Boligsiden",A2015,10,10,240000,34768,69,,3,2742,2019,,2-,,2,fjernvarme/blokvarme,,138,,Tagpap med stor hældning,,,,,,,
"https://www.boligsiden.dk/adresse/steenwinkelsvej-9-3-tv-1966-frederiksberg-c-01470751___9__3__tv?udbud=1d12d156-beeb-42b5-8b11-c905c6b7a5f0
",3.495.000 kr.," Steenwinkelsvej 9, 3. tv., Frederiksberg C - Ejerlejlighed på 61 m² - Boligsiden",C,10,10,175000,57295,,3,2,3310,1967,,4-3,,1,fjernvarme/blokvarme,,,,Tagpap med stor hældning,,,,,,,
"https://www.boligsiden.dk/adresse/ourevej-1-5932-humble-04820536___1_______?udbud=f2d07527-578e-4329-9695-216aff88172e
",495.000 kr.," Ourevej 1, Tryggelev, Humble - Villa på 100 m² - Boligsiden",G,10,10,25000,4760,1098,,3,2109,1962,,1-,,1,elvarme,,104,,Fibercement herunder asbest,,,,,,,
"https://www.boligsiden.dk/adresse/norgesvej-66-8370-hadsten-07100690__66_______?udbud=7a5fb2bf-93ce-48b0-af43-8af782cbce12
",3.395.000 kr.," Norgesvej 66, Hadsten - Villa på 231 m² - Boligsiden",D,10,10,170000,14722,1076,,7,2864,1977,1988,1-,,2,elvarme,,230.6,,Fibercement herunder asbest,,,,,,,
"https://www.boligsiden.dk/adresse/faegangsvej-27-8585-glesborg-07070301__27_______?udbud=c002a4c7-9e7d-4d3c-a38c-c3a4441a2f45
",1.295.000 kr.," Fægangsvej 27, Bønnerup Strand, Glesborg - Villa på 123 m² - Boligsiden",D,10,10,65000,9704,885,,4,1227,1983,,1-,,1,varmepumpe,,133.45,,Fibercement herunder asbest,,,,,,,
"https://www.boligsiden.dk/adresse/sjaellandsgade-1-2-tv-8000-aarhus-c-07517195___1__2__tv?udbud=ef63e563-670c-44b4-a19e-d2bd7b58701a
",2.750.000 kr.," Sjællandsgade 1, 2. tv., Aarhus C - Ejerlejlighed på 57 m² - Boligsiden",D,10,10,140000,48246,,2,2,2311,1941,2010,3-2,,1,fjernvarme/blokvarme,,,,Tagpap med stor hældning,,,,,,,
"https://www.boligsiden.dk/adresse/risvaenget-5-6800-varde-05736558___5_______?udbud=5b9a1f24-f924-4f37-9df2-5fafb0a62213
",2.775.000 kr.," Risvænget 5, Varde - Villa på 150 m² - Boligsiden",C,10,10,140000,17355,760,,5,2029,1975,,1-,,2,fjernvarme/blokvarme,,159.9,,Fibercement herunder asbest,,,,,,,
"https://www.boligsiden.dk/adresse/museumsgade-84-4930-maribo-03601058__84_______?udbud=a95ef18a-a509-48c7-a682-96ca1a2d4a42
",695.000 kr.," Museumsgade 84, Maribo - Villa på 107 m² - Boligsiden",,10,10,35000,5233,642,,3,1338,1939,,1-,,2,fjernvarme/blokvarme,,132.8,,Tegl,,,,,,,
"https://www.boligsiden.dk/adresse/rosenlunden-17c-5000-odense-c-04616707_17c_______?udbud=35e6559f-e954-409f-9665-100049902836
",3.595.000 kr.," Rosenlunden 17C, Odense C - Ejerlejlighed på 125 m² - Boligsiden",E,10,10,180000,28760,,,4,3605,1930,,1-,,1,fjernvarme/blokvarme,,,,Tegl,,,,,,,
"https://www.boligsiden.dk/adresse/soroevej-43-4250-fuglebjerg-03701571__43_______?udbud=6f6667a3-0a0b-43b8-87e4-9015b49ae2d9
",875.000 kr.," Sorøvej 43, Haldagermagle, Fuglebjerg - Villa på 97 m² - Boligsiden",G,10,10,45000,7826,1714,,1,1620,1878,,1-,,1,elvarme,,111.8,,Tegl,,,,,,,
"https://www.boligsiden.dk/adresse/bork-hytteby-210-6893-hemmet-07600197_210_______?udbud=6400c1c7-9d0b-42c4-9e99-9c95acd0d76b
",875.000 kr.," Bork Hytteby 210, Sdr Bork, Hemmet - Fritidsbolig på 62 m² - Boligsiden",,10,10,45000,13955,225,,4,1043,1984,1994,1-,,2,varmepumpe,,62.7,,Betontagsten,,,,,,,
"https://www.boligsiden.dk/adresse/granvaenget-6-5932-humble-04820230___6_______?udbud=0efc1e71-5c1e-4ef2-80b2-9003a8e3b64d
",825.000 kr.," Granvænget 6, Hesselbjerg, Humble - Fritidsbolig på 77 m² - Boligsiden",,10,10,45000,11000,1208,,4,1206,1977,,1-,,1,elvarme,,75,,Betontagsten,,,,,,,
"https://www.boligsiden.dk/adresse/skjoldborgsvej-1-2-5270-odense-n-04617414___1__2____?udbud=4f10f611-6755-40bb-906b-9ab41e1e2bf3
",945.000 kr.," Skjoldborgsvej 1, 2., Odense N - Ejerlejlighed på 57 m² - Boligsiden",D,10,10,50000,16579,,2,2,1575,1922,2008,2-2,,1,fjernvarme/blokvarme,,,,Fibercement herunder asbest,,,,,,,
"https://www.boligsiden.dk/adresse/roermosen-44-4540-faarevejle-03061923__44_______?udbud=3c2875c8-744e-49c9-98bf-df8ca94a24bb
",3.750.000 kr.," Rørmosen 44, Kårup, Fårevejle - Fritidsbolig på 108 m² - Boligsiden",,10,10,190000,33186,1403,,4,2832,1970,2016,1-,,2,elvarme,,99.4,,Tagpap med stor hældning,,,,,,,
"https://www.boligsiden.dk/adresse/soeholmen-44-1-b-2760-maaloev-01510799__44__1___b?udbud=12036e1c-1c1e-4f33-bad4-dff2f3afcb17
",3.695.000 kr.," Søholmen 44, 1. b., Måløv - Ejerlejlighed på 104 m² - Boligsiden",C,10,10,185000,35529,,1,3,5157,2010,,4-1,,1,centralvarme med én fyringsenhed,,,,Tagpap med lille hældning,,,,,,,
"https://www.boligsiden.dk/adresse/oddervej-83-8660-skanderborg-07460736__83_______?udbud=19f421d9-99bb-49cc-9c3a-cd36f6c9f7c9
",1.799.000 kr.," Oddervej 83, Skanderborg - Villa på 116 m² - Boligsiden",F,10,10,90000,12297,1680,,4,1888,1948,,1-,,1,centralvarme med én fyringsenhed,,146.3,,Fibercement herunder asbest,,,,,,,
"https://www.boligsiden.dk/adresse/hadsundvej-86f-2-th-9000-aalborg-08512882_86f__2__th?udbud=417d8d21-e0f6-455f-b695-6b79f94a4575
",1.395.000 kr.," Hadsundvej 86F, 2. th., Aalborg - Ejerlejlighed på 88 m² - Boligsiden",C,10,10,70000,15852,,2,3,2265,1969,,3-2,,1,fjernvarme/blokvarme,,,,Fibercement herunder asbest,,,,,,,
"https://www.boligsiden.dk/adresse/svanemosevej-51-3630-jaegerspris-02501234__51_______?udbud=d6ce1053-5d78-4c34-a7af-158175dffce5
",4.295.000 kr.," Svanemosevej 51, Jægerspris - Villa på 153 m² - Boligsiden",C,10,10,215000,27392,1346,,6,3674,2004,,1-,,2,varmepumpe,,156.8,,Betontagsten,,,,,,,
"https://www.boligsiden.dk/adresse/thorsvej-5-4673-roedvig-stevns-052bd41a-a1de-4afc-b7b6-4bf891a054c0?udbud=4a67b650-e033-4a81-9d5c-f2bd05f2141d
",2.295.000 kr.," Thorsvej 5, Rødvig Stevns - Villa på 267 m² - Boligsiden",E,10,10,115000,8596,1597,,7,2572,1968,,,,,,,,,,,,,,,,
"https://www.boligsiden.dk/adresse/benedikte-alle-20-2690-karlslunde-02530447__20_______?udbud=0510ad70-3277-4caa-8511-de4273bd661b
",4.495.000 kr.," Benedikte Alle 20, Karlslunde - Villa på 146 m² - Boligsiden",C,10,10,225000,29179,836,,4,3929,1969,2019,1-,,2,centralvarme med én fyringsenhed,,154.05,,Fibercement herunder asbest,,,,,,,
"https://www.boligsiden.dk/adresse/noerrevaenget-14-6091-bjert-06216013__14_______?udbud=3918ecc6-8906-467c-a604-87e1b7876aa3
",1.165.000 kr.," Nørrevænget 14, Agtrup, Bjert - Villa på 182 m² - Boligsiden",E,494,10,60000,5511,1334,,7,1996,1857,1975,1-,,2,centralvarme med én fyringsenhed,,211.4,,Fibercement herunder asbest,,,,,,,
"https://www.boligsiden.dk/adresse/midtparken-56-6520-toftlund-05501082__56_______?udbud=e3d40086-e184-4ce8-a290-d6b5756e9cc7
",745.000 kr.," Midtparken 56, Arrild, Toftlund - Fritidsbolig på 43 m² - Boligsiden",,10,10,40000,16302,873,,2,1096,1977,,1-,,1,elvarme,,45.7,,Fibercement herunder asbest,,,,,,,
"https://www.boligsiden.dk/adresse/haslevgaarde-strand-15-9560-hadsund-08460547__15_______?udbud=c919b7a0-f639-4840-a025-cd44a406b860
",695.000 kr.," Haslevgaarde Strand 15, Haslevgaarde, Hadsund - Fritidsbolig på 50 m² - Boligsiden",,10,10,35000,13417,800,,3,1154,1962,,1-,,1,ovn til fast og flydende brændsel,,51.8,,Fibercement herunder asbest,,,,,,,
"https://www.boligsiden.dk/adresse/tranebaervej-14-9981-jerup-08138440__14_______?udbud=f8a1d1c2-5c1b-47cc-bcc3-10e718253d2c
",1.195.000 kr.," Tranebærvej 14, Napstjert, Jerup - Fritidsbolig på 70 m² - Boligsiden",,214,5,60000,17071,2547,,3,1665,1974,,1-,,1,elvarme,,70,,Fibercement herunder asbest,,,,,,,
"https://www.boligsiden.dk/adresse/kongensgade-64-3550-slangerup-02500651__64_______?udbud=916d477d-631b-4289-871f-1f493858fa17
",2.695.000 kr.," Kongensgade 64, Slangerup - Villa på 170 m² - Boligsiden",F,10,10,135000,15760,1103,,5,4043,1935,1970,1-,,2,centralvarme med én fyringsenhed,,171,,Tegl,,,,,,,
"https://www.boligsiden.dk/adresse/byvangen-115-8700-horsens-06151147_115_______?udbud=55e91242-e90c-4636-b8f1-b265bdb60c4e
",3.598.000 kr.," Byvangen 115, Horsens - Villa på 157 m² - Boligsiden",C,10,10,180000,21872,839,,5,2358,1981,,1-,,2,fjernvarme/blokvarme,,164.5,,Betontagsten,,,,,,,
"https://www.boligsiden.dk/adresse/grevingevej-3-4532-gislinge-03160494___3_______?udbud=9d72b058-635e-4b80-9cc5-5c675a9383a4
",3.495.000 kr.," Grevingevej 3, Lammefjorden, Gislinge - Villa på 218 m² - Boligsiden",D,386,10,175000,12767,7902,,8,3262,1915,,1-,,2,centralvarme med én fyringsenhed,,273.75,,Fibercement herunder asbest,,,,,,,
"https://www.boligsiden.dk/adresse/falkevej-50-0-7-8800-viborg-07912045__50_st___7?udbud=81827097-a2e3-40de-8424-6ea6172543a2
",895.000 kr.," Falkevej 50, st. 7., Viborg - Ejerlejlighed på 77 m² - Boligsiden",C,10,10,45000,11623,,0,2,1925,1972,,3-0,,1,fjernvarme/blokvarme,,,,Tagpap med lille hældning,,,,,,,
"https://www.boligsiden.dk/adresse/abildhoej-3-5792-aarslev-04301901___3_______?udbud=c21c2630-c924-4e3b-afe2-93614325ca9f
",3.795.000 kr.," Abildhøj 3, Nørre Lyndelse, Årslev - Villa på 181 m² - Boligsiden",A2010,10,10,190000,19953,1139,,5,2501,2017,,1-,,2,varmepumpe,,190.2,,Betontagsten,,,,,,,
"https://www.boligsiden.dk/adresse/danasvej-5-7100-vejle-06300407___5_______?udbud=edcd6987-7cbc-400f-9b88-5d2571edaa26
",1.895.000 kr.," Danasvej 5, Vejle - Villa på 113 m² - Boligsiden",D,10,10,95000,17498,738,,4,1739,1930,,1-,,2,fjernvarme/blokvarme,,108.3,,Tegl,,,,,,,
"https://www.boligsiden.dk/adresse/odinsvej-10-1-th-4700-naestved-03701213__10__1__th?udbud=f3fb87b4-b71b-49e8-8490-6e418447bb54
",1.150.000 kr.," Odinsvej 10, 1. th., Næstved - Ejerlejlighed på 76 m² - Boligsiden",C,10,10,60000,15132,,1,2,3191,1933,,4-1,,1,fjernvarme/blokvarme,,,,Tagpap med stor hældning,,,,,,,
"https://www.boligsiden.dk/adresse/sandvejen-45-5390-martofte-04400605__45_______?udbud=deb7ecf1-6ce9-40b7-a0a6-fc38e823934c
",4.695.000 kr.," Sandvejen 45, Nordskov, Martofte - Fritidsbolig på 45 m² - Boligsiden",,10,10,235000,100968,1647,,3,3016,1947,1986,1-,,1,elvarme,,46.5,,Tagpap med stor hældning,,,,,,,
"https://www.boligsiden.dk/adresse/h.c.-andersens-vej-13-6100-haderslev-05100408__13_______?udbud=11cda6ce-06f2-4eac-888f-f399c22f4f2c
",2.395.000 kr.," H.C. Andersens Vej 13, Haderslev - Villa på 162 m² - Boligsiden",F,10,10,120000,13188,763,,5,2057,1972,,1-,,2,varmepumpe,,181.6,,Tegl,,,,,,,
"https://www.boligsiden.dk/adresse/irma-pedersens-gade-15-8-1-8000-aarhus-c-07513796__15__8___1?udbud=de56cbfe-30b9-4a25-8163-79a7748a5bb6
",5.895.000 kr.," Irma Pedersens Gade 15, 8. 1., Aarhus C - Ejerlejlighed på 103 m² - Boligsiden",A2015,10,10,295000,57233,,8,3,5094,2019,,17-8,,1,fjernvarme/blokvarme,,,,Tagpap med lille hældning,,,,,,,
"https://www.boligsiden.dk/adresse/boegeloekken-36-5700-svendborg-04791043__36_______?udbud=3bb7e031-f74d-494a-a510-a34652de315e
",4.295.000 kr.," Bøgeløkken 36, Thurø, Svendborg - Villa på 152 m² - Boligsiden",A2010,10,10,215000,26894,925,,6,2504,2015,,1-,,2,varmepumpe,,159.7,,Betontagsten,,,,,,,
"https://www.boligsiden.dk/adresse/melhoej-park-14-3210-vejby-02701097__14_______?udbud=2c91bb97-a01f-4099-8597-85435cd6cca2
",2.395.000 kr.," Melhøj Park 14, Vejby - Rækkehus på 153 m² - Boligsiden",B,252,10,120000,15206,668,,6,2819,1980,,2-,,2,fjernvarme/blokvarme,,157.5,,Betontagsten,,,,,,,
"https://www.boligsiden.dk/adresse/anemonevej-1-6900-skjern-07600059___1_______?udbud=bcb17ed0-fa05-4cae-a998-43d70b754cd6
",1.195.000 kr.," Anemonevej 1, Skjern - Villa på 107 m² - Boligsiden",E,10,10,60000,10547,594,,4,1516,1964,,1-,,1,fjernvarme/blokvarme,,113.3,,Fibercement herunder asbest,,,,,,,
"https://www.boligsiden.dk/adresse/bryggergade-11-8450-hammel-07100120__11_______?udbud=45cf1d30-0880-433e-8ef1-4ccb775403c0
",398.000 kr.," Bryggergade 11, Voldby, Hammel - Helårsgrund på 700 m² - Boligsiden",,10,10,25000,569,700,,,608,,,,,,,,,,,,,,,,,
"https://www.boligsiden.dk/adresse/oexnevej-6a-2820-gentofte-01570986__6a_______?udbud=8595f664-5f26-4838-8491-319fbfae29c1
",6.975.000 kr.," Øxnevej 6A, Gentofte - Rækkehus på 116 m² - Boligsiden",D,64,10,350000,60129,,,4,3979,1971,,1-,,1,elvarme,,,,Fibercement uden asbest,,,,,,,
"https://www.boligsiden.dk/adresse/borgskrivervej-9-3-th-2400-koebenhavn-nv-01010740___9__3__th?udbud=6b5a6681-4221-4674-b82f-b53b1732e233
",1.149.300 kr.," Borgskrivervej 9, 3. th., København NV - Andelsbolig på 57 m² - Boligsiden",C,10,10,,20163,,3,2,2708,1937,,5-3,,1,fjernvarme/blokvarme,,,,Tegl,,,,,,,
"https://www.boligsiden.dk/adresse/oernevang-20-2-th-3450-alleroed-02019766__20__2__th?udbud=06680c01-0414-4d76-a1c4-0b68ef658add
",2.445.000 kr.," Ørnevang 20, 2. th., Allerød - Ejerlejlighed på 99 m² - Boligsiden",D,10,10,125000,24697,,2,3,4515,1965,,3-2,,1,fjernvarme/blokvarme,,,,Tegl,,,,,,,
"https://www.boligsiden.dk/adresse/emilievej-2-9300-saeby-08130348___2_______?udbud=c0945986-f302-4080-b3fa-0aab0c9764ba
",1.595.000 kr.," Emilievej 2, Sæby - Villa på 180 m² - Boligsiden",D,559,10,80000,8886,711,,7,1546,1927,2005,1-,,2,fjernvarme/blokvarme,,179.5,,Tegl,,,,,,,
"https://www.boligsiden.dk/adresse/oestervang-4-6230-roedekro-05802267___4_______?udbud=ee3542a3-09da-41d2-a687-8e1b3180a545
",1.695.000 kr.," Østervang 4, Rødekro - Villa på 171 m² - Boligsiden",C,10,10,85000,9971,781,,8,1316,1967,2003,1-,,1,fjernvarme/blokvarme,,170,,Fibercement herunder asbest,,,,,,,
"https://www.boligsiden.dk/adresse/skjerbovej-11-5750-ringe-04301277__11_______?udbud=e35fef1a-b44f-4cd5-ba06-8db467cf349f
",1.375.000 kr.," Skjerbovej 11, Gestelev, Ringe - Villa på 135 m² - Boligsiden",E,10,10,70000,9549,2168,,5,1093,1965,,1-,,1,centralvarme med én fyringsenhed,,144,,Fibercement herunder asbest,,,,,,,
"https://www.boligsiden.dk/adresse/randager-83-2620-albertslund-01650370__83_______?udbud=311c71c7-f09a-40ce-acac-f23c23fbcbac
",4.850.000 kr.," Randager 83, Albertslund - Villa på 129 m² - Boligsiden",C,10,10,245000,36966,700,,5,3770,1966,1980,1-,,1,fjernvarme/blokvarme,,131.2,,Tegl,,,,,,,
"https://www.boligsiden.dk/adresse/noergaardsvej-29a-4-th-2800-kongens-lyngby-01730626_29a__4__th?udbud=a211dc33-0b05-4e78-b717-5cd4391426df
",5.595.000 kr.," Nørgaardsvej 29A, 4. th., Kongens Lyngby - Ejerlejlighed på 86 m² - Boligsiden",C,10,10,280000,65058,,4,3,4933,1987,,5-4,,1,fjernvarme/blokvarme,,,,Tagpap med stor hældning,,,,,,,
"https://www.boligsiden.dk/adresse/kronhjortloekken-82-5210-odense-nv-04614624__82_______?udbud=4ff506e7-a6cb-4965-98f7-8977260ac322
",2.445.000 kr.," Kronhjortløkken 82, Korup, Odense NV - Villa på 132 m² - Boligsiden",D,10,10,125000,17009,736,,5,2008,1974,,1-,,2,fjernvarme/blokvarme,,143.75,,Betontagsten,,,,,,,
"https://www.boligsiden.dk/adresse/jagtvej-4-9000-aalborg-08513722___4_______?udbud=c8f8a544-a0aa-4dd0-a775-b6fc21fa359d
",6.995.000 kr.," Jagtvej 4, Aalborg - Villa på 188 m² - Boligsiden",C,128,10,350000,30972,739,,7,4164,1937,,2-,,2,fjernvarme/blokvarme,,225.85,,Fibercement herunder asbest,,,,,,,
"https://www.boligsiden.dk/adresse/brigadevej-8-1-tv-2300-koebenhavn-s-01010844___8__1__tv?udbud=e1858ccd-855b-42b6-a0ff-42ada405aabe
",2.195.000 kr.," Brigadevej 8, 1. tv., København S - Ejerlejlighed på 40 m² - Boligsiden",C,10,10,110000,54875,,1,2,3772,1898,,5-1,,1,fjernvarme/blokvarme,,,,Fibercement herunder asbest,,,,,,,
"https://www.boligsiden.dk/adresse/noerregade-18-1-tv-9000-aalborg-08516104__18__1__tv?udbud=7f7bd8a3-e9f3-4220-b62d-ff5e8cc5e03e
",2.795.000 kr.," Nørregade 18, 1. tv., Aalborg - Ejerlejlighed på 117 m² - Boligsiden",E,10,10,140000,23889,,1,3,4025,1806,1993,3-1,,1,fjernvarme/blokvarme,,,,Tegl,,,,,,,
"https://www.boligsiden.dk/adresse/dyssebakken-75-6500-vojens-05100211__75_______?udbud=6ad222dd-8dc5-46aa-b00a-4e1dfeb48a62
",1.795.000 kr.," Dyssebakken 75, Vojens - Villa på 187 m² - Boligsiden",C,10,10,90000,9349,871,,7,1763,1986,2007,1-,,2,fjernvarme/blokvarme,,192,,Betontagsten,,,,,,,
"https://www.boligsiden.dk/adresse/pomosavej-36-5270-odense-n-04616203__36_______?udbud=82638517-a6fd-4183-bc93-66f49dcfe25b
",1.995.000 kr.," Pomosavej 36, Søhus, Odense N - Villa på 120 m² - Boligsiden",D,10,10,100000,16121,775,,4,1715,1972,,1-,,2,fjernvarme/blokvarme,,123.75,,Tegl,,,,,,,
"https://www.boligsiden.dk/adresse/skovvejen-8-8000-aarhus-c-07517393___8_______?udbud=b60c471a-5403-45b7-be88-2b1b6959daa2
",8.995.000 kr.," Skovvejen 8, Aarhus C - Villa på 149 m² - Boligsiden",B,10,10,450000,57403,125,,6,4286,1894,1993,2-,,2,fjernvarme/blokvarme,,156.7,,Tegl,,,,,,,
"https://www.boligsiden.dk/adresse/alrunevej-11-4874-gedser-03760052__11_______?udbud=7bc316fd-e2fc-4a9c-a181-e8bd913153e9
",695.000 kr.," Alrunevej 11, Gedser - Fritidsbolig på 48 m² - Boligsiden",,219,10,25000,13327,1000,,3,1103,1968,1999,1-,,1,elvarme,,52.15,,Fibercement herunder asbest,,,,,,,
"https://www.boligsiden.dk/adresse/langballevej-174-8320-maarslet-07514775_174_______?udbud=249b276c-fe94-4a87-84d7-6300557ed944
",3.998.000 kr.," Langballevej 174, Mårslet - Villa på 146 m² - Boligsiden",B,10,10,200000,26941,756,,5,3276,1984,1992,1-,,2,fjernvarme/blokvarme,,148.4,,Betontagsten,,,,,,,
"https://www.boligsiden.dk/adresse/aebleparken-124-2-5270-odense-n-04619567_124__2____?udbud=b6ec27f7-8eca-4273-a773-a401e07f3f1d
",695.000 kr.," Æbleparken 124, 2., Odense N - Ejerlejlighed på 59 m² - Boligsiden",C,10,10,35000,11780,,2,2,1605,1973,,4-2,,1,fjernvarme/blokvarme,,,,Tagpap med lille hældning,,,,,,,
"https://www.boligsiden.dk/adresse/lundevej-17-7100-vejle-06301499__17_______?udbud=068d1bd4-76e8-40bb-bc3d-7e4cccc6e5fd
",2.195.000 kr.," Lundevej 17, Vejle - Villa på 117 m² - Boligsiden",F,10,10,110000,14057,741,,4,2614,1928,1976,1-,,2,centralvarme med én fyringsenhed,,156.15,,Fibercement herunder asbest,,,,,,,
"https://www.boligsiden.dk/adresse/asmild-dige-7-8800-viborg-07912110___7_______?udbud=62fbbe35-b21e-42fe-8f39-58e5c7b1c3dc
",2.375.000 kr.," Asmild Dige 7, Viborg - Villa på 117 m² - Boligsiden",B,10,10,120000,19604,906,,5,2178,2011,,1-,,2,fjernvarme/blokvarme,,121.15,,Betontagsten,,,,,,,
"https://www.boligsiden.dk/adresse/koralvej-13-9370-hals-08511073__13_______?udbud=5d8290b3-3d19-4567-bf9d-9c0786a53c77
",1.450.000 kr.," Koralvej 13, Hou, Hals - Fritidsbolig på 78 m² - Boligsiden",,10,10,75000,17180,1667,,4,1320,1987,,1-,,1,elvarme,,84.4,,Fibercement herunder asbest,,,,,,,
